Date,Sector,Industry,CapGain
2023-01-05,Industrials,Pollution & Treatment Controls,-462852.0800000026
2023-01-05,Industrials,Railroads,-21152493.999999985
2023-01-05,Industrials,Rental & Leasing Services,3108107.999999986
2023-01-05,Industrials,Security & Protection Services,-297570.7999999974
2023-01-05,Industrials,Specialty Business Services,-5546290.400000032
2023-01-05,Industrials,Specialty Industrial Machinery,225911.79999997516
2023-01-05,Industrials,Staffing & Employment Services,-8919445.77000001
2023-01-05,Industrials,Tools & Accessories,96849.00000000902
2023-01-05,Industrials,Trucking,-340825.99999998696
2023-01-05,Industrials,Waste Management,-10134576.999999983
2023-01-05,Real Estate,REIT - Diversified,-2840499.820000006
2023-01-05,Real Estate,REIT - Healthcare Facilities,-11457.99999997951
2023-01-05,Real Estate,REIT - Hotel & Motel,-5626121.0
2023-01-05,Real Estate,REIT - Industrial,-21156383.00000006
2023-01-05,Real Estate,REIT - Mortgage,986024.9999999716
2023-01-05,Real Estate,REIT - Office,-11317221.999999983
2023-01-05,Real Estate,REIT - Residential,-29810344.00000001
2023-01-05,Real Estate,REIT - Retail,-15014164.95000001
2023-01-05,Real Estate,REIT - Specialty,-33657845.0
2023-01-05,Real Estate,Real Estate - Development,-16134.999999999956
2023-01-05,Real Estate,Real Estate - Diversified,-134298.00000000023
2023-01-05,Real Estate,Real Estate Services,42175322.12000001
2023-01-05,Technology,Communication Equipment,-12017200.99999997
2023-01-05,Technology,Computer Hardware,7752444.789999943
2023-01-05,Technology,Consumer Electronics,-170917360.99999994
2023-01-05,Technology,Electronic Components,801208.3000000026
2023-01-05,Technology,Electronics & Computer Distribution,-126712.99999999726
2023-01-05,Technology,Information Technology Services,-43227619.85999988
2023-01-05,Technology,Scientific & Technical Instruments,-3203710.4999999786
2023-01-05,Technology,Semiconductor Equipment & Materials,-958650.9999999828
2023-01-05,Technology,Semiconductors,-232373591.2
2023-01-05,Technology,Software - Application,162507234.44000012
2023-01-05,Technology,Software - Infrastructure,-446540121.3699994
2023-01-05,Technology,Solar,-60259932.4
2023-01-05,Utilities,Utilities - Diversified,-12457899.99999998
2023-01-05,Utilities,Utilities - Independent Power Producers,-1059862.0000000005
2023-01-05,Utilities,Utilities - Regulated Electric,-66113556.0
2023-01-05,Utilities,Utilities - Regulated Gas,-2898634.999999993
2023-01-05,Utilities,Utilities - Regulated Water,-2626240.0000000177
2023-01-05,Utilities,Utilities - Renewable,-2568835.000000002
2023-01-05,bond,bond etf,-103210273.05000436
2023-01-06,Basic Materials,Agricultural Inputs,22132288.269999936
2023-01-06,Basic Materials,Aluminum,681692.9999999844
2023-01-06,Basic Materials,Building Materials,7936794.800000006
2023-01-06,Basic Materials,Chemicals,17846957.000000007
